,urn,public_domain,license,actions
5002,URN:NBN:no-nb_digibok_2008082100015,True,publicdomain,['download']
5003,URN:NBN:no-nb_digibok_2015061048114,True,publicdomain,['download']
5004,URN:NBN:no-nb_digibok_2008041603001,True,publicdomain,['download']
5005,URN:NBN:no-nb_digibok_2013042608086,True,publicdomain,['download']
5006,URN:NBN:no-nb_digibok_2011021112012,False,bokhylla,
5007,URN:NBN:no-nb_digibok_2009011603012,True,publicdomain,['download']
5008,URN:NBN:no-nb_digibok_2008102300077,True,publicdomain,['download']
5009,URN:NBN:no-nb_digibok_2014072808040,True,publicdomain,['download']
5010,URN:NBN:no-nb_digibok_2018102326032,True,publicdomain,['download']
5011,URN:NBN:no-nb_digibok_2021042148542,True,publicdomain,['download']
5012,URN:NBN:no-nb_digibok_2009022603029,False,bokhylla,
5013,URN:NBN:no-nb_digibok_2016050948016,True,publicdomain,['download']
5014,URN:NBN:no-nb_digibok_2010011210002,True,publicdomain,['download']
5015,URN:NBN:no-nb_digibok_2010111208080,True,publicdomain,['download']
5016,URN:NBN:no-nb_digibok_2017050926018,True,publicdomain,['download']
5017,URN:NBN:no-nb_digibok_2009042103023,True,publicdomain,['download']
5018,URN:NBN:no-nb_digibok_2016103148542,False,copyrighted,['download']
5019,URN:NBN:no-nb_digibok_2009051303002,True,publicdomain,['download']
5020,URN:NBN:no-nb_digibok_2009020900104,True,publicdomain,['download']
5021,URN:NBN:no-nb_digibok_2012060608198,False,copyrighted,['download']
5022,URN:NBN:no-nb_digibok_2016031829006,True,publicdomain,['download']
5023,URN:NBN:no-nb_digibok_2018051648021,True,publicdomain,['download']
5024,URN:NBN:no-nb_digibok_2008060612001,True,publicdomain,['download']
5025,URN:NBN:no-nb_digibok_2021021258010,False,ccbyncnd,['download']
5026,URN:NBN:no-nb_digibok_2009081903035,True,publicdomain,['download']
5027,URN:NBN:no-nb_digibok_2009072900087,True,publicdomain,['download']
5028,URN:NBN:no-nb_digibok_2015102208038,True,publicdomain,['download']
5029,URN:NBN:no-nb_digibok_2009062513009,True,publicdomain,['download']
5030,URN:NBN:no-nb_digibok_2008040104098,True,publicdomain,['download']
5031,URN:NBN:no-nb_digibok_2009020900058,True,publicdomain,['download']
5032,URN:NBN:no-nb_digibok_2009010703003,True,publicdomain,['download']
5033,URN:NBN:no-nb_digibok_2012061108002,True,publicdomain,['download']
5034,URN:NBN:no-nb_digibok_2021110948126,True,publicdomain,['download']
5035,URN:NBN:no-nb_digibok_2010051906039,True,publicdomain,['download']
5036,URN:NBN:no-nb_digibok_2010011503014,True,publicdomain,['download']
5037,URN:NBN:no-nb_digibok_2016111748555,False,bokhylla,
5038,URN:NBN:no-nb_digibok_2008121603020,True,publicdomain,['download']
5039,URN:NBN:no-nb_digibok_2014111408012,True,publicdomain,['download']
5040,URN:NBN:no-nb_digibok_2011103124009,True,publicdomain,['download']
5041,URN:NBN:no-nb_digibok_2006083000039,True,publicdomain,['download']
5042,URN:NBN:no-nb_digibok_2007111612005,True,publicdomain,['download']
5043,URN:NBN:no-nb_digibok_2007081610004,True,publicdomain,['download']
5044,URN:NBN:no-nb_digibok_2013081226003,True,publicdomain,['download']
5045,URN:NBN:no-nb_digibok_2020102707661,True,publicdomain,['download']
5046,URN:NBN:no-nb_digibok_2013050224095,True,publicdomain,['download']
5047,URN:NBN:no-nb_digibok_2019061748031,True,publicdomain,['download']
5048,URN:NBN:no-nb_digibok_2008072412003,True,publicdomain,['download']
5049,URN:NBN:no-nb_digibok_2014031007006,True,publicdomain,['download']
5050,URN:NBN:no-nb_digibok_2015050408108,False,copyrighted,['download']
5051,URN:NBN:no-nb_digibok_2017081748163,True,publicdomain,['download']
5052,URN:NBN:no-nb_digibok_2010012603003,True,publicdomain,['download']
5053,URN:NBN:no-nb_digibok_2015110908265,False,copyrighted,['download']
5054,URN:NBN:no-nb_digibok_2017102348127,True,publicdomain,['download']
5055,URN:NBN:no-nb_digibok_2021042748502,False,copyrighted,
5056,URN:NBN:no-nb_digibok_2013091728001,True,publicdomain,['download']
5057,URN:NBN:no-nb_digibok_2007072402003,True,publicdomain,['download']
5058,URN:NBN:no-nb_digibok_2010063006067,True,publicdomain,['download']
5059,URN:NBN:no-nb_digibok_2008091003001,True,publicdomain,['download']
5060,URN:NBN:no-nb_digibok_2019082926009,True,publicdomain,['download']
5061,URN:NBN:no-nb_digibok_2014101408127,True,publicdomain,['download']
5062,URN:NBN:no-nb_digibok_2007102502001,True,publicdomain,['download']
5063,URN:NBN:no-nb_digibok_2018020548270,True,publicdomain,['download']
5064,URN:NBN:no-nb_digibok_2013042624001,True,publicdomain,['download']
5065,URN:NBN:no-nb_digibok_2017021048513,True,publicdomain,['download']
5066,URN:NBN:no-nb_digibok_2022011348025,False,copyrighted,
5067,URN:NBN:no-nb_digibok_2009070910001,True,publicdomain,['download']
5068,URN:NBN:no-nb_digibok_2009070610006,True,publicdomain,['download']
5069,URN:NBN:no-nb_digibok_2007121312002,True,publicdomain,['download']
5070,URN:NBN:no-nb_digibok_2013100308013,False,copyrighted,['download']
5071,URN:NBN:no-nb_digibok_2006111401045,True,publicdomain,['download']
5072,URN:NBN:no-nb_digibok_2008030510004,True,publicdomain,['download']
5073,URN:NBN:no-nb_digibok_2008102300075,True,publicdomain,['download']
5074,URN:NBN:no-nb_digibok_2018101726019,True,publicdomain,['download']
5075,URN:NBN:no-nb_digibok_2020042748562,True,publicdomain,['download']
5076,URN:NBN:no-nb_digibok_2009062212007,True,publicdomain,['download']
5077,URN:NBN:no-nb_digibok_2008030612001,True,publicdomain,['download']
5078,URN:NBN:no-nb_digibok_2016113048041,True,publicdomain,['download']
5079,URN:NBN:no-nb_digibok_2019121948013,True,publicdomain,['download']
5080,URN:NBN:no-nb_digibok_2012080113002,False,bokhylla,
5081,URN:NBN:no-nb_digibok_2011032210003,False,copyrighted,
5082,URN:NBN:no-nb_digibok_2011070708230,True,publicdomain,['download']
5083,URN:NBN:no-nb_digibok_2017050526031,True,publicdomain,['download']
5084,URN:NBN:no-nb_digibok_2021082348579,True,publicdomain,['download']
5085,URN:NBN:no-nb_digibok_2013102407188,False,copyrighted,['download']
5086,URN:NBN:no-nb_digibok_2006111400031,True,publicdomain,['download']
5087,URN:NBN:no-nb_digibok_2010051906059,True,publicdomain,['download']
5088,URN:NBN:no-nb_digibok_2018040448038,False,copyrighted,
5089,URN:NBN:no-nb_digibok_2009052803004,True,publicdomain,['download']
5090,URN:NBN:no-nb_digibok_2016101748064,False,copyrighted,
5091,URN:NBN:no-nb_digibok_2017060748140,True,publicdomain,['download']
5092,URN:NBN:no-nb_digibok_2018092126010,True,publicdomain,['download']
5093,URN:NBN:no-nb_digibok_2019112926005,True,publicdomain,['download']
5094,URN:NBN:no-nb_digibok_2015071308162,True,publicdomain,['download']
5095,URN:NBN:no-nb_digibok_2017072607318,True,publicdomain,['download']
5096,URN:NBN:no-nb_digibok_2018061926021,True,publicdomain,['download']
5097,URN:NBN:no-nb_digibok_2009052803005,True,publicdomain,['download']
5098,URN:NBN:no-nb_digibok_2015052208157,True,publicdomain,['download']
5099,URN:NBN:no-nb_digibok_2010080320017,False,bokhylla,
5100,URN:NBN:no-nb_digibok_2021030326007,True,publicdomain,['download']
5101,URN:NBN:no-nb_digibok_2009031003035,True,publicdomain,['download']
5102,URN:NBN:no-nb_digibok_2012011124003,True,publicdomain,['download']
5103,URN:NBN:no-nb_digibok_2008040213002,True,publicdomain,['download']
5104,URN:NBN:no-nb_digibok_2015092208001,True,publicdomain,['download']
5105,URN:NBN:no-nb_digibok_2013070824025,True,publicdomain,['download']
5106,URN:NBN:no-nb_digibok_2006112401024,True,publicdomain,['download']
5107,URN:NBN:no-nb_digibok_2019102926004,True,publicdomain,['download']
5108,URN:NBN:no-nb_digibok_2013112528003,True,publicdomain,['download']
5109,URN:NBN:no-nb_digibok_2014111108068,True,publicdomain,['download']
5110,URN:NBN:no-nb_digibok_2008081910002,True,publicdomain,['download']
5111,URN:NBN:no-nb_digibok_2008082010005,True,publicdomain,['download']
5112,URN:NBN:no-nb_digibok_2021083148081,True,publicdomain,['download']
5113,URN:NBN:no-nb_digibok_2009012803007,False,copyrighted,['download']
5114,URN:NBN:no-nb_digibok_2015112508227,True,publicdomain,['download']
5115,URN:NBN:no-nb_digibok_2012042608029,True,publicdomain,['download']
5116,URN:NBN:no-nb_digibok_2008040204092,True,publicdomain,['download']
5117,URN:NBN:no-nb_digibok_2010081210002,True,publicdomain,['download']
5118,URN:NBN:no-nb_digibok_2007110112001,True,publicdomain,['download']
5119,URN:NBN:no-nb_digibok_2012072612001,True,publicdomain,['download']
5120,URN:NBN:no-nb_digibok_2021063028020,True,publicdomain,['download']
5121,URN:NBN:no-nb_digibok_2008040104014,True,publicdomain,['download']
5122,URN:NBN:no-nb_digibok_2009052603019,False,bokhylla,
5123,URN:NBN:no-nb_digibok_2016022548049,True,publicdomain,['download']
5124,URN:NBN:no-nb_digibok_2009041703003,False,bokhylla,
5125,URN:NBN:no-nb_digibok_2009092212003,True,publicdomain,['download']
5126,URN:NBN:no-nb_digibok_2013100708171,True,publicdomain,['download']
5127,URN:NBN:no-nb_digibok_2021042648545,False,copyrighted,
5128,URN:NBN:no-nb_digibok_2012080908076,True,publicdomain,['download']
5129,URN:NBN:no-nb_digibok_2012051513020,True,publicdomain,['download']
5130,URN:NBN:no-nb_digibok_2012101908008,True,publicdomain,['download']
5131,URN:NBN:no-nb_digibok_2021042148623,False,copyrighted,['download']
5132,URN:NBN:no-nb_digibok_2009072901006,True,publicdomain,['download']
5133,URN:NBN:no-nb_digibok_2009032703009,True,publicdomain,['download']
5134,URN:NBN:no-nb_digibok_2016060926003,True,publicdomain,['download']
5135,URN:NBN:no-nb_digibok_2009081903024,True,publicdomain,['download']
5136,URN:NBN:no-nb_digibok_2016101926014,True,publicdomain,['download']
5137,URN:NBN:no-nb_digibok_2013080124002,True,publicdomain,['download']
5138,URN:NBN:no-nb_digibok_2018061248500,True,publicdomain,['download']
5139,URN:NBN:no-nb_digibok_2019061326025,True,publicdomain,['download']
5140,URN:NBN:no-nb_digibok_2014082208164,True,publicdomain,['download']
5141,URN:NBN:no-nb_digibok_2010041903034,True,publicdomain,['download']
5142,URN:NBN:no-nb_digibok_2016102648519,True,publicdomain,['download']
5143,URN:NBN:no-nb_digibok_2018051626016,True,publicdomain,['download']
5144,URN:NBN:no-nb_digibok_2012112724004,True,publicdomain,['download']
5145,URN:NBN:no-nb_digibok_2015020309012,False,copyrighted,['download']
5146,URN:NBN:no-nb_digibok_2008121612008,True,publicdomain,['download']
5147,URN:NBN:no-nb_digibok_2008040200051,True,publicdomain,['download']
5148,URN:NBN:no-nb_digibok_2009042204096,True,publicdomain,['download']
5149,URN:NBN:no-nb_digibok_2020052528002,True,publicdomain,['download']
5150,URN:NBN:no-nb_digibok_2010052806031,True,publicdomain,['download']
5151,URN:NBN:no-nb_digibok_2006111700057,True,publicdomain,['download']
5152,URN:NBN:no-nb_digibok_2015090106025,True,publicdomain,['download']
5153,URN:NBN:no-nb_digibok_2017101628001,True,publicdomain,['download']
5154,URN:NBN:no-nb_digibok_2017051248083,True,publicdomain,['download']
5155,URN:NBN:no-nb_digibok_2010070208013,True,publicdomain,['download']
5156,URN:NBN:no-nb_digibok_2008112403035,True,publicdomain,['download']
5157,URN:NBN:no-nb_digibok_2014030408088,True,publicdomain,['download']
5158,URN:NBN:no-nb_digibok_2017030626002,True,publicdomain,['download']
5159,URN:NBN:no-nb_digibok_2022013126005,False,copyrighted,
5160,URN:NBN:no-nb_digibok_2014070408099,False,bokhylla,
5161,URN:NBN:no-nb_digibok_2014061928002,True,publicdomain,['download']
5162,URN:NBN:no-nb_digibok_2011102805002,False,copyrighted,['download']
5163,URN:NBN:no-nb_digibok_2022013126011,False,copyrighted,
5164,URN:NBN:no-nb_digibok_2009020400090,True,publicdomain,['download']
5165,URN:NBN:no-nb_digibok_2021101348511,True,publicdomain,['download']
5166,URN:NBN:no-nb_digibok_2013100708164,True,publicdomain,['download']
5167,URN:NBN:no-nb_digibok_2010052606048,True,publicdomain,['download']
5168,URN:NBN:no-nb_digibok_2006082800064,True,publicdomain,['download']
5169,URN:NBN:no-nb_digibok_2008060312002,True,publicdomain,['download']
5170,URN:NBN:no-nb_digibok_2014052708135,True,publicdomain,['download']
5171,URN:NBN:no-nb_digibok_2017112048592,False,bokhylla,
5172,URN:NBN:no-nb_digibok_2008111903023,True,publicdomain,['download']
5173,URN:NBN:no-nb_digibok_2014082908063,True,publicdomain,['download']
5174,URN:NBN:no-nb_digibok_2008012812001,True,publicdomain,['download']
5175,URN:NBN:no-nb_digibok_2016030129002,True,publicdomain,['download']
5176,URN:NBN:no-nb_digibok_2017072607307,True,publicdomain,['download']
5177,URN:NBN:no-nb_digibok_2020120726005,True,publicdomain,['download']
5178,URN:NBN:no-nb_digibok_2009072903001,True,publicdomain,['download']
5179,URN:NBN:no-nb_digibok_2014052208036,True,publicdomain,['download']
5180,URN:NBN:no-nb_digibok_2009061610001,True,publicdomain,['download']
5181,URN:NBN:no-nb_digibok_2018102326054,True,publicdomain,['download']
5182,URN:NBN:no-nb_digibok_2013100708166,True,publicdomain,['download']
5183,URN:NBN:no-nb_digibok_2012090708302,True,publicdomain,['download']
5184,URN:NBN:no-nb_digibok_2011032210006,False,copyrighted,
5185,URN:NBN:no-nb_digibok_2013070226010,True,publicdomain,['download']
5186,URN:NBN:no-nb_digibok_2010042003014,True,publicdomain,['download']
5187,URN:NBN:no-nb_digibok_2012032024031,True,publicdomain,['download']
5188,URN:NBN:no-nb_digibok_2008102300091,True,publicdomain,['download']
5189,URN:NBN:no-nb_digibok_2017071129001,True,publicdomain,['download']
5190,URN:NBN:no-nb_digibok_2019121748040,True,publicdomain,['download']
5191,URN:NBN:no-nb_digibok_2008052904018,True,publicdomain,['download']
5192,URN:NBN:no-nb_digibok_2008013103005,True,publicdomain,['download']
5193,URN:NBN:no-nb_digibok_2008010810007,True,publicdomain,['download']
5194,URN:NBN:no-nb_digibok_2020111007011,False,copyrighted,
5195,URN:NBN:no-nb_digibok_2012112308038,True,publicdomain,['download']
5196,URN:NBN:no-nb_digibok_2009041403012,False,bokhylla,
5197,URN:NBN:no-nb_digibok_2012031212009,True,publicdomain,['download']
5198,URN:NBN:no-nb_digibok_2018121348006,True,publicdomain,['download']
5199,URN:NBN:no-nb_digibok_2009120212002,True,publicdomain,['download']
5200,URN:NBN:no-nb_digibok_2014092908029,True,publicdomain,['download']
5201,URN:NBN:no-nb_digibok_2013073124003,True,publicdomain,['download']
5202,URN:NBN:no-nb_digibok_2013022838004,True,publicdomain,['download']
5203,URN:NBN:no-nb_digibok_2021042148832,True,publicdomain,['download']
5204,URN:NBN:no-nb_digibok_2010070208002,True,publicdomain,['download']
5205,URN:NBN:no-nb_digibok_2014051208001,True,publicdomain,['download']
5206,URN:NBN:no-nb_digibok_2022010548080,True,publicdomain,['download']
5207,URN:NBN:no-nb_digibok_2021042148824,True,publicdomain,['download']
5208,URN:NBN:no-nb_digibok_2012030913003,False,copyrighted,['download']
5209,URN:NBN:no-nb_digibok_2009102212006,True,publicdomain,['download']
5210,URN:NBN:no-nb_digibok_2021100748576,True,publicdomain,['download']
5211,URN:NBN:no-nb_digibok_2019062026001,True,publicdomain,['download']
5212,URN:NBN:no-nb_digibok_2013022624011,True,publicdomain,['download']
5213,URN:NBN:no-nb_digibok_2011111024006,True,publicdomain,['download']
5214,URN:NBN:no-nb_digibok_2010052606067,False,copyrighted,['download']
5215,URN:NBN:no-nb_digibok_2009092810002,True,publicdomain,['download']
5216,URN:NBN:no-nb_digibok_2009020200018,True,publicdomain,['download']
5217,URN:NBN:no-nb_digibok_2022011748022,False,copyrighted,['download']
5218,URN:NBN:no-nb_digibok_2018032326003,True,publicdomain,['download']
5219,URN:NBN:no-nb_digibok_2009032003005,False,copyrighted,['download']
5220,URN:NBN:no-nb_digibok_2009070212007,True,publicdomain,['download']
5221,URN:NBN:no-nb_digibok_2009020200135,True,publicdomain,['download']
5222,URN:NBN:no-nb_digibok_2014111408056,True,publicdomain,['download']
5223,URN:NBN:no-nb_digibok_2009080703015,True,publicdomain,['download']
5224,URN:NBN:no-nb_digibok_2021090648640,False,copyrighted,
5225,URN:NBN:no-nb_digibok_2017071129002,True,publicdomain,['download']
5226,URN:NBN:no-nb_digibok_2014060328003,True,publicdomain,['download']
5227,URN:NBN:no-nb_digibok_2008040912002,True,publicdomain,['download']
5228,URN:NBN:no-nb_digibok_2008071113002,True,publicdomain,['download']
5229,URN:NBN:no-nb_digibok_2010090110001,False,bokhylla,
5230,URN:NBN:no-nb_digibok_2007120312001,True,publicdomain,['download']
5231,URN:NBN:no-nb_digibok_2014102808026,True,publicdomain,['download']
5232,URN:NBN:no-nb_digibok_2016051048031,True,publicdomain,['download']
5233,URN:NBN:no-nb_digibok_2008102200024,True,publicdomain,['download']
5234,URN:NBN:no-nb_digibok_2009050703023,True,publicdomain,['download']
5235,URN:NBN:no-nb_digibok_2008071104037,True,publicdomain,['download']
5236,URN:NBN:no-nb_digibok_2014112108096,True,publicdomain,['download']
5237,URN:NBN:no-nb_digibok_2022011748040,False,copyrighted,
5238,URN:NBN:no-nb_digibok_2017101326001,True,publicdomain,['download']
5239,URN:NBN:no-nb_digibok_2009022603035,True,publicdomain,['download']
5240,URN:NBN:no-nb_digibok_2021042148737,True,publicdomain,['download']
5241,URN:NBN:no-nb_digibok_2009011200076,False,copyrighted,['download']
5242,URN:NBN:no-nb_digibok_2018071348045,True,publicdomain,['download']
5243,URN:NBN:no-nb_digibok_2016010408105,False,bokhylla,
5244,URN:NBN:no-nb_digibok_2019110448028,True,publicdomain,['download']
5245,URN:NBN:no-nb_digibok_2013041007028,True,publicdomain,['download']
5246,URN:NBN:no-nb_digibok_2006111701059,True,publicdomain,['download']
5247,URN:NBN:no-nb_digibok_2014072108198,True,publicdomain,['download']
5248,URN:NBN:no-nb_digibok_2009081312002,True,publicdomain,['download']
5249,URN:NBN:no-nb_digibok_2016081729003,False,copyrighted,['download']
5250,URN:NBN:no-nb_digibok_2019121748009,True,publicdomain,['download']
5251,URN:NBN:no-nb_digibok_2010081022012,True,publicdomain,['download']
5252,URN:NBN:no-nb_digibok_2013051407021,True,publicdomain,['download']
5253,URN:NBN:no-nb_digibok_2017071426006,True,publicdomain,['download']
5254,URN:NBN:no-nb_digibok_2008091800014,True,publicdomain,['download']
5255,URN:NBN:no-nb_digibok_2016062248042,False,copyrighted,['download']
5256,URN:NBN:no-nb_digibok_2020100728008,True,publicdomain,['download']
5257,URN:NBN:no-nb_digibok_2014110426012,True,publicdomain,['download']
5258,URN:NBN:no-nb_digibok_2009011603014,True,publicdomain,['download']
5259,URN:NBN:no-nb_digibok_2014110308039,True,publicdomain,['download']
5260,URN:NBN:no-nb_digibok_2012040424001,True,publicdomain,['download']
5261,URN:NBN:no-nb_digibok_2010060420012,True,publicdomain,['download']
5262,URN:NBN:no-nb_digibok_2006112300016,True,publicdomain,['download']
5263,URN:NBN:no-nb_digibok_2009010703010,True,publicdomain,['download']
5264,URN:NBN:no-nb_digibok_2014050824006,True,publicdomain,['download']
5265,URN:NBN:no-nb_digibok_2014081408106,True,publicdomain,['download']
5266,URN:NBN:no-nb_digibok_2010020403001,True,publicdomain,['download']
5267,URN:NBN:no-nb_digibok_2012073108005,True,publicdomain,['download']
5268,URN:NBN:no-nb_digibok_2009020900066,True,publicdomain,['download']
5269,URN:NBN:no-nb_digibok_2018051648036,True,publicdomain,['download']
5270,URN:NBN:no-nb_digibok_2010020903020,True,publicdomain,['download']
5271,URN:NBN:no-nb_digibok_2016102448035,False,copyrighted,['download']
5272,URN:NBN:no-nb_digibok_2006112101013,True,publicdomain,['download']
5273,URN:NBN:no-nb_digibok_2007090402001,True,publicdomain,['download']
5274,URN:NBN:no-nb_digibok_2017051148073,True,publicdomain,['download']
5275,URN:NBN:no-nb_digibok_2008052003001,True,publicdomain,['download']
5276,URN:NBN:no-nb_digibok_2009081012003,True,publicdomain,['download']
5277,URN:NBN:no-nb_digibok_2008070112006,True,publicdomain,['download']
5278,URN:NBN:no-nb_digibok_2021100748562,True,publicdomain,['download']
5279,URN:NBN:no-nb_digibok_2013071827018,True,publicdomain,['download']
5280,URN:NBN:no-nb_digibok_2018032048038,True,publicdomain,['download']
5281,URN:NBN:no-nb_digibok_2016111648049,False,bokhylla,
5282,URN:NBN:no-nb_digibok_2009042303015,True,publicdomain,['download']
